,kor,eng
48,질투,"jealousy, envy, be[feel] jealous of, envy | [2] jealous"
49,호감,"good feeling, goodwill, a favorable[good] impression | [2] make a favorable impression"
50,버티다,"(견디다) endure, last, bear (up), hold out | [2] compete against each other"
51,궁하다,"(돈·살림 등이) poor, needy, (informal) hard up | [2] be in need[want] of money"
52,뿌옇다,"foggy, gray, murky, cloudy | [2] have a pearly skin"
53,만지다,(손으로) touch; (무엇인지 알아내기 위해) feel | [2] stroke one´s beard
54,비난,"[명사] criticism, attack, reproach, (informal) flak; (공식적인) condemnation, denunciation, (formal) censure, [동사] criticize, attack, blame, reproach, blast, (formal) deprecate, (formal) chastise; (공식적인 자리에서) condemn, denounce, (formal) censure; (부당하게) knock | [2] critically"
55,단번에,"(즉시) immediately, at once; (첫 시도에서) on the first try, at the first attempt | [2] knock 《a person》 down with a single blow"
56,발휘하다,"demonstrate, display, show, (formal) exhibit | [2] show oneself at one's best"
57,기지,(군사기지) base; (탐험 등의) station | [2] wits
58,한때,"(한동안) for a time[while], temporarily, provisionally | [2] flourish for a while"
59,순조롭다,smooth | [2] 
60,난생처음,"(for) the first time in one's life, in all one's born days | [2] an experience met for the first time in one´s life"
61,수수료,(커미션) commission; (요금) charge | [2] charge a fee
62,우호적,"friendly (to/toward), amicable, (formal) cordial | [2] a friendly attitude"
63,살펴보다,"(방 안·집 등을) examine, search, check | [2] examine[inspect] closely[minutely]"
64,퀴퀴하다,"musty, fusty | [2] "
65,예감,"[명사] hunch; (불길한) foreboding, premonition, (formal) presentiment, [동사] have a hunch[premonition] (of/that) | [2] ominous presentiment"
66,전언,"(전하는 말) (verbal) message, word | [2] leave word"
67,멀쩡하다,"(아무 탈 없다) intact, unscathed | [2] have a clear mind"
68,떳떳하다,honorable | [2] 
69,여지,"room, a margin, scope, space, leeway(구어) | [2] undoubtedly"
70,터무니없이,"absurdly, ridiculously, unreasonably, outrageously, (formal) preposterously | [2] go to utter ruin"
71,열광하다,"[동사] go wild, be enthusiastic (about), be fanatical, get wildly[extremely] excited (at/about/over) | [2] wildly"
72,멀미,"(Am) motion sickness, (Brit) travel sickness; (차멀미) carsickness; (뱃멀미) seasickness; (비행기 멀미) airsickness | [2] feel dizzy[seasick]"
73,한참,"for some time, for a time[while, spell] | [2] for a long time"
74,미묘하다,"delicate, subtle, fine | [2] most delicate"
75,허송세월,"[동사] idle away, waste one's time | [2] idle time"
76,과실,"(실수) mistake, error, fault, blunder; (사고) accident; (태만) negligence | [2] fruit"
77,가정,"[명사] supposition, assumption, presumption, hypothesis, speculation, [동사] suppose, assume, presume; (문법) the subjunctive mood | [2] (가족, 집안) home, family"
78,소모품,"consumables, expendables, consumable[expendable] supplies[goods] | [2] office supplies"
79,물질주의,materialism | [2] materialism value
80,액수,sum[amount] (of money) | [2] a large[small] amount of money
81,겨우,"(가까스로, 간신히) barely, narrowly | [2] barely make ends meet"
82,해고,"[명사] dismissal, discharge, removal (from); (일시적인) layoff, (Brit, inf) the sack, [동사] fire, dismiss, discharge, terminate, (Am, inf) can, (Brit, inf) sack; (일시적으로) layoff; (늙어서) (informal) put sb out to grass | [2] be dismissed[discharged]"
83,일방적,"(상대방은 생각하지 않는) unilateral, one-sided | [2] a one-sided[lopsided] game"
84,성과급,"bonus, performance-related pay | [2] a pieceworker"
85,희미하다,"(형체가) dim, faint, vague | [2] have a clear[an indistinct] consciousness"
86,미처,"(not) up to that, as far as, to that extent, far[early] enough, in time, in advance | [2] That never entered my mind."
87,털다,"(먼지 등을) dust (off/down), brush (off) | [2] knock snow off"
88,불쑥,(쑥 내미는 모양) | [2] speak bluntly
89,적적하다,"lonely, lonesome | [2] "
90,억울,[억눌려 답답함] depression; oppression; dejection. | [2] under a false accusation
91,야권,"the opposition, opposition parties  | [2] conservative opposition party"
92,빌미,"excuse, pretext | [2] provide a reason"
93,심화,"deepen, be intensified | [2] burn with wrath[jealousy]"
94,완화,"[동사]  (법·규제 등을) relax, ease (off); (통증을) relieve, ease, alleviate | [2] the easing[relaxation] of the cold war"
95,조절하다,"regulate | [2] control, adjust, regulate"
96,막말,"a blunt remark[speech], rude[rough] talk, rough stuff, ―하다 speak roughly, talk at random, talk wild, put ((it)) bluntly, talk without thinking | [2] to put it bluntly"
97,사퇴,"[명사] resignation, [동사] resign, step down | [2] voluntary resignation"
98,추가적, | [2] 
99,적당히 해,That's enough. | [2] Work in moderation.
